_id,keyword_list[0]
7206068316074065921,headliner collection
7206081708055183362,headliner collection
7228693820262678529,money back
7220084641399619585,chromacraze led glasses
7206087456687915010,millenia x2 sage cage
7156104353975402498,colored contact lenses
7205652968379973633,
7225630834240847874,gloves
7228338366311088129,migraine relief hat
7224319434978131970,spring bundles
7216607718123585537,goreng trucker
7188647196954378242,colour led crystal lamp
7226006683574583298,
7210574746336690177,
7225398719645319170,party sunglasses
7224424714392879106,
7160467355729575938,heated gloves
7202263479294197762,perfect gift
7194480181440659457,
7225621813245739009,get to know our brand
7216749043807191042,goalkeep gloves
7158842142353293313,eye test
7225001346482339841,migraine relief hat
7172469422803009538,colored contact lenses
7164104913348952065,limited stock
7220611071191564290,sunglass lenses
7205652283949760514,hstn rx
7225035902984110082,luminous led glasses
7233527558359941122,
7215469416057880577,led luminous glasses
7206283070856560641,glasses
7228943459988602882,hats
7219625738726834178,"where, dwight"
7215647996226191362,
7173389937865605121,free shipping today
7158841887901564930,eye test
7229614125126778881,
7235221592933777410,gloves
7124614029463060481,sunglasses
7176293197555892225,
7213601330958876674,tint-adjustable smart sunglasses
7222276022838312962,
7202263510712352770,wait for it
7218013625377210370,prescription glasses
7206051887958261762,"funky, biodegradable shades"
7195055741229006850,music player
7229714953460105217,spice up your look
7215776515975675906,snapback hat
7208664578199175170,magnetic sun visor glasses holder
7153465801507880962,thermal waterproof gloves
7212681795334193154,"funky, biodegradable shades"
7218530079470632961,
7216816803682205698,smartshades
7210652487669678081,snapback hat
7197573816409931778,"funky, biodegradable shades"
7233292651880824834,orange snapback hat
7190852438324690945,polarized mirror lenses
7198815851133779970,prescription glasses
7091368529065181185,smart music sunglasses
7167624523461754882,prescription glasses
7223332599334338562,prescription glasses
7224045218872983554,unlock your character preference
7209223212969525250,prescription glasses
7185295375833071618,glasses
7223044583378075649,mammoth headwear
7191261984590118913,revolutionary belt
7166634395670102018,evo icl implantable lenses
7211328711172374530,
7218756302516289537,tint changing sunglasses
7186463033535004674,hat wall
7190211467669241858,frame
7226650466044624898,light up
7157303938584248322,plus size bra
7223590402918449153,oakley matching set
7220363683615571970,strapless push up bra
7190916682126770178,keep your business clean
7214193127693746178,seamless tummy control
7189371231530680322,let me know
7220135963614658562,push-up strapless bra
7206358868284882945,
7219939310102003714,no idea
7207806381113442305,want an exclusive discount reveal
7179090365948510210,
7218069367664312321,vera moon perfume
7172112191302565889,straight leg pants
7223410069458878465,strapless bra
7228570482379292674,underwear
7225492699431239681,
7229205893467357185,for the man
7194369683478200321,sculpting bodysuit
7226637413980225537,dreses
7203087395008430082,
7211051901574660098,matching set
